City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cockburn Town,TC,77.94,clear sky,21.4612,-71.1419,Osprey Beach Hotel
2,Farafangana,MG,76.62,light rain,-22.8167,47.8333,Miarina
7,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
11,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
12,Puerto Ayora,EC,87.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Neiafu,TO,80.67,moderate rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
18,Pundaguitan,PH,81.61,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
32,Carnarvon,AU,76.32,clear sky,-24.8667,113.6333,Hospitality Carnarvon
35,Katobu,ID,76.08,broken clouds,-4.9408,122.5276,La Ode Husein
39,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
41,Ugoofaaru,MV,83.08,scattered clouds,5.6667,73.0,Ungoofaaru Inn
43,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
46,Luwuk,ID,77.13,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
51,La Ligua,CL,77.14,clear sky,-32.4524,-71.2311,Hotel Anchimallen
52,Black River,JM,86.5,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
53,Alyangula,AU,83.12,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
57,Aguas Formosas,BR,89.44,clear sky,-17.0822,-40.9358,HOTEL HAVAY PALACE
63,Rikitea,PF,78.62,broken clouds,-23.1203,-134.9692,People ThankYou
68,Honiara,SB,76.68,overcast clouds,-9.4333,159.95,Heritage Park Hotel
70,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
74,Dingle,PH,76.32,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
75,Port Elizabeth,ZA,84.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
76,Port Keats,AU,80.2,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
83,Vao,NC,79.16,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
84,Cayenne,GF,76.08,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
89,Hambantota,LK,78.71,overcast clouds,6.1241,81.1185,Bungalow 63
90,Kavieng,PG,81.59,broken clouds,-2.5744,150.7967,Nusa Island Retreat
91,East London,ZA,79.27,overcast clouds,-33.0153,27.9116,Tu Casa
93,Hilo,US,75.61,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
96,Sonepur,IN,75.61,clear sky,20.8333,83.9167,Hotel Progress INN
100,Belmonte,BR,83.82,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
106,Caravelas,BR,85.73,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
110,Saint-Pierre,RE,79.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
114,Cabo San Lucas,MX,77.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
115,Atuona,PF,78.51,broken clouds,-9.8,-139.0333,Villa Enata
124,Port Alfred,ZA,82.02,overcast clouds,-33.5906,26.891,The Halyards Hotel
