City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cockburn Town,TC,21.4612,-71.1419,77.94,69,0,16.89,clear sky
1,Barrow,US,71.2906,-156.7887,-21.98,76,0,6.91,clear sky
2,Farafangana,MG,-22.8167,47.8333,76.62,85,77,8.34,light rain
3,Albany,US,42.6001,-73.9662,27.43,91,100,7.0,snow
4,Puerto Carreno,CO,6.189,-67.4859,98.29,32,89,7.45,overcast clouds
5,Valparaiso,CL,-33.0393,-71.6273,67.64,66,0,11.5,clear sky
6,Kenitra,MA,34.261,-6.5802,61.56,76,100,7.0,overcast clouds
7,Vaini,TO,-21.2,-175.2,75.36,100,75,1.14,broken clouds
8,Punta Arenas,CL,-53.15,-70.9167,50.11,66,100,14.76,overcast clouds
9,El Jicaro,GT,14.9167,-89.9,96.33,34,23,4.99,few clouds
10,Kapaa,US,22.0752,-159.319,71.58,78,67,11.65,light rain
11,San Cristobal,VE,7.7669,-72.225,75.38,55,95,2.82,overcast clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,87.76,86,33,7.0,scattered clouds
13,Victoria,HK,22.2855,114.1577,73.38,76,32,8.01,scattered clouds
14,La Ronge,CA,55.1001,-105.2842,18.27,90,98,8.79,light snow
15,Saint-Louis,SN,16.3333,-15.0,97.29,4,1,13.04,clear sky
16,Cuamba,MZ,-14.8031,36.5372,69.3,98,100,1.25,overcast clouds
17,Neiafu,TO,-18.65,-173.9833,80.67,73,97,5.14,moderate rain
18,Pundaguitan,PH,6.3711,126.1689,81.61,80,85,10.56,overcast clouds
19,Kutum,SD,14.2,24.6667,72.55,15,62,12.08,broken clouds
20,New Norfolk,AU,-42.7826,147.0587,54.9,98,6,3.13,clear sky
21,Ixtapa,MX,20.7,-105.2,74.43,57,0,4.61,clear sky
22,Ribeira Grande,PT,38.5167,-28.7,63.0,55,20,8.05,few clouds
23,Hermanus,ZA,-34.4187,19.2345,66.79,88,10,17.96,clear sky
24,Tasiilaq,GL,65.6145,-37.6368,32.16,88,99,22.01,overcast clouds
25,Ushuaia,AR,-54.8,-68.3,51.46,58,75,2.3,broken clouds
26,Fortuna,US,40.5982,-124.1573,62.92,37,0,20.71,clear sky
27,Aksarka,RU,66.5606,67.7975,12.92,95,100,10.85,light snow
28,Hobart,AU,-42.8794,147.3294,55.26,92,7,6.91,clear sky
29,Cape Town,ZA,-33.9258,18.4232,72.09,69,32,6.08,scattered clouds
30,Varna,BG,43.2167,27.9167,33.87,81,0,5.75,clear sky
31,Ilulissat,GL,69.2167,-51.1,6.82,66,75,10.36,broken clouds
32,Carnarvon,AU,-24.8667,113.6333,76.32,74,4,17.65,clear sky
33,Krasnoselkup,RU,65.7,82.4667,-13.0,100,15,9.89,few clouds
34,Cidreira,BR,-30.1811,-50.2056,72.27,59,95,10.36,overcast clouds
35,Katobu,ID,-4.9408,122.5276,76.08,94,75,3.29,broken clouds
36,Avarua,CK,-21.2078,-159.775,73.45,100,61,1.14,broken clouds
37,Mataura,NZ,-46.1927,168.8643,50.49,97,41,2.37,scattered clouds
38,Tainan,TW,22.9908,120.2133,70.88,61,2,3.44,clear sky
39,Georgetown,MY,5.4112,100.3354,82.33,83,20,0.0,few clouds
40,Katsuura,JP,35.1333,140.3,56.08,85,50,6.02,scattered clouds
41,Ugoofaaru,MV,5.6667,73.0,83.08,73,39,10.42,scattered clouds
42,Murgab,TM,37.4966,61.9714,65.77,56,100,10.49,overcast clouds
43,Port Blair,IN,11.6667,92.75,78.84,89,20,0.0,mist
44,Pudozh,RU,61.8099,36.5345,27.5,97,100,3.67,overcast clouds
45,Zheleznodorozhnyy,RU,55.7503,38.0042,28.92,92,100,5.75,overcast clouds
46,Luwuk,ID,-0.9516,122.7875,77.13,90,95,2.71,overcast clouds
47,Bluff,NZ,-46.6,168.3333,51.8,89,30,7.9,scattered clouds
48,Haines Junction,CA,60.7522,-137.5108,21.15,73,100,10.36,overcast clouds
49,Tynda,RU,55.1667,124.7167,-6.57,98,88,2.33,overcast clouds
50,Korla,CN,41.7597,86.1469,53.76,30,74,10.09,broken clouds
51,La Ligua,CL,-32.4524,-71.2311,77.14,47,6,9.24,clear sky
52,Black River,JM,18.0264,-77.8487,86.5,52,0,19.39,clear sky
53,Alyangula,AU,-13.8483,136.4192,83.12,75,96,7.7,overcast clouds
54,Jamestown,US,42.097,-79.2353,20.79,58,100,19.57,overcast clouds
55,Merke,KZ,42.8728,73.1786,51.46,78,100,5.14,moderate rain
