City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Katsuura,JP,2022-03-11 22:32:35,35.1333,140.3,55.72,54,0,6.87
1,Busselton,AU,2022-03-11 22:25:20,-33.65,115.3333,67.48,80,15,6.73
2,Pisco,PE,2022-03-11 22:28:59,-13.7,-76.2167,75.25,73,0,11.5
3,Fukue,JP,2022-03-11 22:32:36,32.6881,128.8419,61.59,76,76,5.97
4,Hobart,AU,2022-03-11 22:27:15,-42.8794,147.3294,62.26,70,20,9.22
5,Ust-Kuyga,RU,2022-03-11 22:32:36,70.0167,135.6,-5.75,99,100,2.21
6,Grindavik,IS,2022-03-11 22:32:37,63.8424,-22.4338,39.15,81,75,14.97
7,Ancud,CL,2022-03-11 22:32:37,-41.8697,-73.8203,58.91,82,2,3.06
8,Georgetown,MY,2022-03-11 22:25:27,5.4112,100.3354,80.53,93,20,1.14
9,Rikitea,PF,2022-03-11 22:30:58,-23.1203,-134.9692,78.13,70,3,1.48
10,Tasiilaq,GL,2022-03-11 22:27:42,65.6145,-37.6368,35.76,86,100,26.22
11,Port Alfred,ZA,2022-03-11 22:25:20,-33.5906,26.891,73.98,89,58,18.39
12,Mataura,NZ,2022-03-11 22:24:08,-46.1927,168.8643,55.47,83,100,9.98
13,Komsomolets,KZ,2022-03-11 22:32:38,53.7453,62.0708,-0.99,96,100,10.29
14,Baykit,RU,2022-03-11 22:26:33,61.67,96.37,-15.9,99,99,2.53
15,Gornopravdinsk,RU,2022-03-11 22:32:38,60.05,69.9,-17.5,100,98,3.65
16,Kodiak,US,2022-03-11 22:25:19,57.79,-152.4072,40.51,87,100,5.75
17,Esperance,AU,2022-03-11 22:32:38,-33.8667,121.9,64.24,63,97,14.58
18,Tarko-Sale,RU,2022-03-11 22:32:39,64.9225,77.785,-17.64,100,72,7.76
19,Victoria,HK,2022-03-11 22:30:19,22.2855,114.1577,68.95,87,5,5.99
20,Bluff,NZ,2022-03-11 22:31:05,-46.6,168.3333,55.8,78,93,22.21
21,Tautira,PF,2022-03-11 22:32:39,-17.7333,-149.15,80.74,69,27,8.95
22,Norman Wells,CA,2022-03-11 22:26:36,65.282,-126.8329,-7.56,59,75,12.66
23,Saint-Philippe,RE,2022-03-11 22:26:40,-21.3585,55.7679,74.79,82,40,8.52
24,Ushuaia,AR,2022-03-11 22:30:58,-54.8,-68.3,49.66,57,20,21.85
25,Jamestown,US,2022-03-11 22:24:54,42.097,-79.2353,37.02,66,100,9.22
26,Verkhnyaya Inta,RU,2022-03-11 22:32:39,65.9811,60.3094,14.07,79,100,19.19
27,New Norfolk,AU,2022-03-11 22:23:02,-42.7826,147.0587,61.92,71,12,2.64
28,Cherskiy,RU,2022-03-11 22:28:54,68.75,161.3,-5.75,84,1,1.97
29,Coahuayana,MX,2022-03-11 22:32:40,18.7333,-103.6833,82.87,46,10,7.56
30,Morant Bay,JM,2022-03-11 22:32:40,17.8815,-76.4093,82.71,81,3,10.6
31,Bethel,US,2022-03-11 22:23:08,41.3712,-73.414,50.09,49,0,11.5
32,Surt,LY,2022-03-11 22:32:41,31.2089,16.5887,54.54,63,0,9.44
33,Appleton,US,2022-03-11 22:30:00,44.2619,-88.4154,21.33,42,75,26.46
34,Grand-Santi,GF,2022-03-11 22:32:41,4.25,-54.3833,73.69,97,49,3.44
35,Souillac,MU,2022-03-11 22:25:19,-20.5167,57.5167,79.18,89,40,3.44
36,Torbay,CA,2022-03-11 22:28:55,47.6666,-52.7314,33.39,57,20,21.85
37,Grand Gaube,MU,2022-03-11 22:26:40,-20.0064,57.6608,79.2,88,13,14.12
38,Kaitangata,NZ,2022-03-11 22:25:21,-46.2817,169.8464,57.31,73,100,16.22
39,Atuona,PF,2022-03-11 22:25:24,-9.8,-139.0333,78.89,75,84,17.0
40,Sorong,ID,2022-03-11 22:32:41,-0.8833,131.25,79.75,81,100,3.89
41,Castro,BR,2022-03-11 22:26:39,-24.7911,-50.0119,66.31,97,87,5.75
42,Kapaa,US,2022-03-11 22:24:10,22.0752,-159.319,81.12,70,75,9.22
43,Aden,YE,2022-03-11 22:33:12,12.7794,45.0367,77.13,74,95,17.09
44,Hualmay,PE,2022-03-11 22:33:12,-11.0964,-77.6139,74.52,76,38,8.25
45,Saldanha,ZA,2022-03-11 22:26:36,-33.0117,17.9442,66.25,78,48,4.16
46,Vaini,TO,2022-03-11 22:31:02,-21.2,-175.2,86.16,74,75,9.22
47,Sioux Lookout,CA,2022-03-11 22:33:12,50.1001,-91.917,5.07,72,100,14.97
48,Saskylakh,RU,2022-03-11 22:25:26,71.9167,114.0833,-19.97,98,100,3.44
49,Butaritari,KI,2022-03-11 22:24:06,3.0707,172.7902,80.31,81,95,19.91
50,Ambilobe,MG,2022-03-11 22:33:13,-13.2,49.05,72.82,96,100,2.1
51,Uyemskiy,RU,2022-03-11 22:33:13,64.4743,40.8524,28.45,93,75,4.47
52,Mareeba,AU,2022-03-11 22:33:13,-17.0,145.4333,80.44,84,74,4.27
53,Shingu,JP,2022-03-11 22:29:27,33.7333,135.9833,51.98,85,26,5.82
54,Luderitz,NA,2022-03-11 22:27:53,-26.6481,15.1594,69.06,78,4,6.58
55,Yarada,IN,2022-03-11 22:33:14,17.65,83.2667,71.92,94,20,2.3
56,Breytovo,RU,2022-03-11 22:33:14,58.2993,37.8617,25.56,97,100,4.16
57,Ayan,RU,2022-03-11 22:31:04,56.45,138.1667,14.94,75,100,4.76
58,Port Hedland,AU,2022-03-11 22:33:14,-20.3167,118.5667,78.85,65,4,6.91
59,Espanola,US,2022-03-11 22:33:15,35.9911,-106.0806,43.95,32,30,1.01
60,Ipixuna,BR,2022-03-11 22:33:15,-1.7625,-48.8043,73.94,97,100,2.06
61,Port Blair,IN,2022-03-11 22:24:14,11.6667,92.75,77.04,94,40,2.3
62,Upernavik,GL,2022-03-11 22:25:28,72.7868,-56.1549,-16.11,100,64,7.49
63,Tiksi,RU,2022-03-11 22:33:15,71.6872,128.8694,-11.52,93,100,7.85
64,Hilo,US,2022-03-11 22:25:20,19.7297,-155.09,82.13,65,40,10.36
65,Madang,PG,2022-03-11 22:33:16,-5.2246,145.7966,79.56,84,90,3.74
66,Porto Belo,BR,2022-03-11 22:33:16,-27.1578,-48.5531,78.19,96,81,11.23
67,Inirida,CO,2022-03-11 22:33:16,3.8653,-67.9239,79.11,81,97,2.42
68,Sidi Ali,DZ,2022-03-11 22:33:17,36.0998,0.4206,55.26,73,100,7.16
69,Pandrup,DK,2022-03-11 22:33:17,57.2215,9.6757,37.31,65,0,17.27
70,Hermanus,ZA,2022-03-11 22:24:07,-34.4187,19.2345,77.81,75,99,7.63
71,Puerto Del Rosario,ES,2022-03-11 22:33:17,28.5004,-13.8627,64.15,68,20,8.05
72,Tuktoyaktuk,CA,2022-03-11 22:33:18,69.4541,-133.0374,-2.2,84,100,11.5
73,Antanifotsy,MG,2022-03-11 22:33:18,-19.65,47.3167,60.35,96,100,1.86
74,Bartica,GY,2022-03-11 22:33:18,6.4,-58.6167,80.92,95,44,3.69
75,Yabelo,ET,2022-03-11 22:33:18,4.8833,38.0833,65.39,37,87,20.69
76,Mahebourg,MU,2022-03-11 22:25:21,-20.4081,57.7,79.09,89,40,3.44
77,Canmore,CA,2022-03-11 22:28:55,51.0834,-115.3521,41.11,44,100,12.66
78,Kirakira,SB,2022-03-11 22:33:19,-10.4544,161.9205,84.56,71,53,1.43
79,Wadi Maliz,TN,2022-03-11 22:33:19,36.4681,8.5495,51.46,81,83,1.52
80,Saint George,US,2022-03-11 22:21:01,37.1041,-113.5841,59.43,12,0,5.75
81,Bredasdorp,ZA,2022-03-11 22:33:19,-34.5322,20.0403,67.32,88,100,1.14
